"Dish ID
[001]","Dish URL
[002]","Category
[003]","Dish Name
[004]","Sub-Recipe ID
[005]","Sub-Recipe Name (Live Sync)
[006]","Per Portion
[007]","Unit
[008]",Price
440,,,,310,Spicy Sushi Crab Mix,70,gr,
440,,,,1435,Rough Chop Mango,45,gr,
440,,,,823,Pickled Carrot,40,gr,
440,,,,129,Sliced Cucumbers,35,gr,
440,,,,304,Sesame Seed Mix,2,gr,
440,,,,2574,1oz Unagi Sauce Portioned,1,un,
403,https://eatbetterday.ca/admin/meals/403,*Breakie,Mango Chia,,,,,
403,,,,1867,Small Punch Diced Mango,25,gr,
403,,,,302,Kesar Mango Pulp,20,gr,
403,,,,1723,Mango Chia Pudding Units,1,un,
403,,,,2025,Tropical Garnola Topper,1,un,
476,https://eatbetterday.ca/admin/meals/476,Meat,Mango Tango Chicken Red Thai Curry,,,,,$16.99
476,,,,1879,Signature 6 Thai Mango Curry,230,gr,
476,,,,2288,Cabbage Garnish,15,gr,
476,,,,304,Sesame Seed Mix,2,gr,
476,,,,620,Sticky Rice Balls,1,un,
476,,,,2718,Diced Viet Chicken Breast,1,un,
411,https://eatbetterday.ca/admin/meals/411,Veg,Mango Red Thai Curry,,,,,$15.99
411,,,,1879,Signature 6 Thai Mango Curry,300,gr,
411,,,,2288,Cabbage Garnish,15,gr,
411,,,,304,Sesame Seed Mix,2,gr,
411,,,,620,Sticky Rice Balls,1,un,
556,https://eatbetterday.ca/admin/meals/556,Meat,Mardi Gras Cajun Chicken Linguini,,,,,$16.99
556,,,,2936,Cajun Alfredo,160,gr,
556,,,,2599,Cooked Linguine,155,gr,
556,,,,2938,Flash Roasted Pasta Veg,76,gr,
556,,,,2946,Sliced Cajun Chicken Grams,70,gr,
556,,,,2632,Grilled Corn,10,gr,
556,,,,244,Round Cut Green Onion,5,gr,
556,,,,2348,Shredded Parmesan Cheese #1004751,5,gr,
557,https://eatbetterday.ca/admin/meals/557,Veg,Mardi Gras Cajun Linguini,,,,,$15.99
557,,,,2936,Cajun Alfredo,160,gr,
557,,,,2599,Cooked Linguine,155,gr,
557,,,,2938,Flash Roasted Pasta Veg,76,gr,
557,,,,2630,Roasted Cajun Soy Curls,70,gr,
557,,,,2632,Grilled Corn,10,gr,
557,,,,244,Round Cut Green Onion,5,gr,
250,https://eatbetterday.ca/admin/meals/250,Veg,Mediterranean Pearl Coucous Power Bowl,,,,,$15.99
250,,,,2926,Mediterranean Pearl Cous Cous,325,gr,
250,,,,278,Housemade Vegan Feta,15,gr,
250,,,,1597,Rough Chopped Parsley For Garnish,3,gr,
250,,,,2925,2 oz Lemon Mint Vinaigrette,1,un,
406,https://eatbetterday.ca/admin/meals/406,*Cookies,Morning Glory,,,,,
406,,,,2534,4 Pack Morning Glory Cookie,4,un,
114,https://eatbetterday.ca/admin/meals/114,Veg,Neon Night Sweet & Sour,,,,,$15.99
114,,,,1579,Sweet + Sour Veg,200,gr,
114,,,,1582,Plain Basmati Rice .4,140,gr,
114,,,,1437,Sweet N Sour Tofu Puffs,5,pc,
114,,,,244,Round Cut Green Onion,3,gr,
114,,,,304,Sesame Seed Mix,3,gr,
542,https://eatbetterday.ca/admin/meals/542,Meat,Chicken Neon Night Sweet & Sour,,,,,$16.99
542,,,,1579,Sweet + Sour Veg,200,gr,
542,,,,1582,Plain Basmati Rice .4,140,gr,
542,,,,2924,Diced GnG Chicken Breast For Grams,70,gr,
542,,,,244,Round Cut Green Onion,3,gr,
542,,,,304,Sesame Seed Mix,3,gr,
319,https://eatbetterday.ca/admin/meals/319,Meat,Opa‑Licious Chicken Souvlaki,,,,,$16.99
319,,,,1863,Roasted Balsamic Veg Mix,140,gr,
319,,,,1853,Lemon Spiced Dill Rice,100,gr,
319,,,,2542,Sliced Greek Chicken Breasts,70,gr,
319,,,,278,Housemade Vegan Feta,10,gr,
319,,,,1597,Rough Chopped Parsley For Garnish,2,gr,
319,,,,2523,2 oz Tzatziki Sauce,1,un,
412,https://eatbetterday.ca/admin/meals/412,*Snack,Energy Balls PB,,,,,
412,,,,1829,PB Brownie Energy Bites,4,un,
549,https://eatbetterday.ca/admin/meals/549,Meat,Pickles Be Poppin' Chicken Power Bowl,,,,,$16.99
549,,,,1408,Dill Chopped Salad,200,gr,
549,,,,1934,Roasted Medium Diced BBQ Yams,120,gr,
549,,,,1414,Complete Dill Pickle Hummus,60,gr,
549,,,,278,Housemade Vegan Feta,5,gr,
549,,,,2441,Seasoned Chicken Breast,1,un,
549,,,,2521,2.5oz Portioned Extra Spiced Ranch,1,un,
549,,,,2522,2 oz Almond + Cranberry Mix,1,un,
163,https://eatbetterday.ca/admin/meals/163,Veg,Pickles Be Poppin' Power Bowl,,,,,$15.99
163,,,,1408,Dill Chopped Salad,200,gr,
163,,,,1934,Roasted Medium Diced BBQ Yams,120,gr,
163,,,,1414,Complete Dill Pickle Hummus,100,gr,
163,,,,278,Housemade Vegan Feta,5,gr,
163,,,,2521,2.5oz Portioned Extra Spiced Ranch,1,un,
163,,,,2522,2 oz Almond + Cranberry Mix,1,un,
396,https://eatbetterday.ca/admin/meals/396,Meat,Prawn Dragon Roll Sushi Bowl,,,,,$16.99
396,,,,1155,Brown Sushi Rice,190,gr,
396,,,,129,Sliced Cucumbers,55,gr,
396,,,,1435,Rough Chop Mango,55,gr,
396,,,,823,Pickled Carrot,40,gr,
396,,,,2931,NEW Bang Bang Shrimp,8,un,
396,,,,304,Sesame Seed Mix,2,gr,
396,,,,2574,1oz Unagi Sauce Portioned,1,un,
531,https://eatbetterday.ca/admin/meals/531,*Breakie,Rise & Dine Protein Platter,,,,,
531,,,,2890,Peppers + Potatoes,150,gr,
531,,,,2864,Scramble Eggs,110,gr,
531,,,,2877,Cooked Apple Sausages,2,un,
531,,,,2886,2 oz House Ketchup Sauce,1,un,
477,https://eatbetterday.ca/admin/meals/477,Meat,Salsa Verde Smothered Burrito,,,,,$16.99
477,,,,2239,Green Enchilada Sauce,80,gr,
477,,,,937,Pico De Galo Salsa No Liquid,50,gr,
477,,,,2353,#2353 (1354946) - President Crumbled Dairy Feta,10,gr,
477,,,,2627,HF Rolled Beef + Bean Burrito,1,un,
339,https://eatbetterday.ca/admin/meals/339,Veg,Salsa Verde Smothered Veggie Burrito,,,,,$15.99
339,,,,2239,Green Enchilada Sauce,80,gr,
339,,,,937,Pico De Galo Salsa No Liquid,50,gr,
339,,,,878,Thick Vegan Mayo,20,gr,
339,,,,2237,Rolled Chorizo-Bean Burrito,1,un,
532,https://eatbetterday.ca/admin/meals/532,*Breakie,Sausage & Cheddar Melt,,,,,
532,,,,2871,House Ketchup Sauce,30,gr,
532,,,,2334,Steamed Fried Egg (Brk + Side F),1,un,
532,,,,2335,Cooked Pork Sausage Patties (Brk + Sides F),1,un,
532,,,,2476,Defrost Ace Brioche Buns (Brk+Sides F),1,un,
532,,,,2869,#2869 (1444920) - Sliced Mild Cheddar Cheese,1,un,
494,https://eatbetterday.ca/admin/meals/494,Meat,Savanna Peanut Chicken Curry,,,,,$16.99
494,,,,2706,HF Afro Peanut Curry + Veg,330,gr,
494,,,,2709,HF Diced Jollof Chicken,70,gr,
494,,,,2707,HF Curry Roasted Yams,30,gr,
494,,,,2315,old Pickled Red Onions,20,gr,
494,,,,2594,Flash Roasted Diced Red Peppers,20,gr,
493,https://eatbetterday.ca/admin/meals/493,Veg,Savanna Peanut Curry,,,,,$15.99
493,,,,2706,HF Afro Peanut Curry + Veg,325,gr,
493,,,,2758,HF Savanna Curry Veg,120,gr,
493,,,,2315,old Pickled Red Onions,20,gr,
426,https://eatbetterday.ca/admin/meals/426,*ProPack,Grilled Chicken,,,,,
426,,,,2489,Portioned Diced Chicken For PP,1,un,
377,https://eatbetterday.ca/admin/meals/377,Meat,Smokeshow Beef Enchiladas,,,,,$16.99
377,,,,1790,Enchilada Red Sauce (Sauce T),150,gr,
377,,,,937,Pico De Galo Salsa No Liquid,45,gr,
377,,,,878,Thick Vegan Mayo,20,gr,
377,,,,278,Housemade Vegan Feta,5,gr,
